diseases,shortness of breath,sharp chest pain,dizziness,cough,skin swelling,leg pain,sharp abdominal pain,vomiting,headache,nausea
abdominal aortic aneurysm,1,0,0,0,0,0,1,0,0,0
abdominal aortic aneurysm,1,0,0,0,0,0,1,0,0,0
abdominal aortic aneurysm,1,0,0,0,0,0,1,0,0,0
abdominal aortic aneurysm,0,0,0,0,0,0,1,0,0,0
abdominal aortic aneurysm,1,0,0,0,0,0,0,0,0,0
abdominal aortic aneurysm,0,0,0,0,0,0,1,0,0,0
abdominal aortic aneurysm,1,0,0,0,0,0,1,0,0,0
abdominal aortic aneurysm,0,0,0,0,0,0,1,0,0,0
abdominal aortic aneurysm,1,0,0,0,0,0,0,0,0,0
abdominal aortic aneurysm,1,0,0,0,0,0,1,0,0,0
abdominal hernia,0,0,0,0,0,0,1,0,0,0
abdominal hernia,0,0,0,0,0,0,1,0,0,0
abdominal hernia,0,0,0,0,0,0,0,0,0,0
abdominal hernia,0,0,0,0,0,0,1,0,0,0
abdominal hernia,0,0,0,0,0,0,1,0,0,0
abdominal hernia,0,0,0,0,0,0,0,0,0,0
abdominal hernia,0,0,0,0,0,0,0,0,0,0
abdominal hernia,0,0,0,0,0,0,1,0,0,0
abdominal hernia,0,0,0,0,0,0,1,0,0,0
abdominal hernia,0,0,0,0,0,0,1,0,0,0
abdominal hernia,0,0,0,0,0,0,0,0,0,0
abdominal hernia,0,0,0,0,0,0,0,0,0,0
abdominal hernia,0,0,0,0,0,0,1,0,0,0
abdominal hernia,0,0,0,0,0,0,1,0,0,0
abdominal hernia,0,0,0,0,0,0,0,0,0,0
abdominal hernia,0,0,0,0,0,0,1,0,0,0
abdominal hernia,0,0,0,0,0,0,1,0,0,0
abdominal hernia,0,0,0,0,0,0,1,0,0,0
abdominal hernia,0,0,0,0,0,0,1,0,0,0
abdominal hernia,0,0,0,0,0,0,0,0,0,0
abdominal hernia,0,0,0,0,0,0,0,0,0,0
abdominal hernia,0,0,0,0,0,0,1,0,0,0
abdominal hernia,0,0,0,0,0,0,0,0,0,0
abdominal hernia,0,0,0,0,0,0,1,0,0,0
abdominal hernia,0,0,0,0,0,0,1,0,0,0
abdominal hernia,0,0,0,0,0,0,1,0,0,0
abdominal hernia,0,0,0,0,0,0,1,0,0,0
abdominal hernia,0,0,0,0,0,0,1,0,0,0
abdominal hernia,0,0,0,0,0,0,1,0,0,0
abdominal hernia,0,0,0,0,0,0,1,0,0,0
abdominal hernia,0,0,0,0,0,0,0,0,0,0
abdominal hernia,0,0,0,0,0,0,0,0,0,0
abdominal hernia,0,0,0,0,0,0,0,0,0,0
abdominal hernia,0,0,0,0,0,0,1,0,0,0
abdominal hernia,0,0,0,0,0,0,1,0,0,0
abdominal hernia,0,0,0,0,0,0,1,0,0,0
abdominal hernia,0,0,0,0,0,0,0,0,0,0
abdominal hernia,0,0,0,0,0,0,1,0,0,0
abdominal hernia,0,0,0,0,0,0,0,0,0,0
abdominal hernia,0,0,0,0,0,0,1,0,0,0
abdominal hernia,0,0,0,0,0,0,1,0,0,0
abdominal hernia,0,0,0,0,0,0,1,0,0,0
abdominal hernia,0,0,0,0,0,0,1,0,0,0
abdominal hernia,0,0,0,0,0,0,1,0,0,0
abdominal hernia,0,0,0,0,0,0,0,0,0,0
abdominal hernia,0,0,0,0,0,0,1,0,0,0
abdominal hernia,0,0,0,0,0,0,1,0,0,0
abdominal hernia,0,0,0,0,0,0,0,0,0,0
abdominal hernia,0,0,0,0,0,0,0,0,0,0
abdominal hernia,0,0,0,0,0,0,1,0,0,0
abscess of nose,0,0,0,0,0,0,0,1,0,0
abscess of nose,0,0,0,0,0,0,0,1,0,0
abscess of nose,0,0,0,0,0,0,0,0,0,0
abscess of nose,0,0,0,0,0,0,0,1,0,0
abscess of nose,0,0,0,0,0,0,0,1,0,0
abscess of nose,0,0,0,1,0,0,0,0,0,0
abscess of nose,0,0,0,0,0,0,0,1,0,0
abscess of nose,0,0,0,1,0,0,0,1,0,0
abscess of nose,0,0,0,0,0,0,0,1,0,0
abscess of nose,0,0,0,0,0,0,0,1,0,0
abscess of nose,0,0,0,0,0,0,0,1,0,0
abscess of nose,0,0,0,1,0,0,0,1,0,0
abscess of nose,0,0,0,0,0,0,0,1,0,0
abscess of nose,0,0,0,0,0,0,0,1,0,0
abscess of nose,0,0,0,1,0,0,0,0,0,0
abscess of nose,0,0,0,0,0,0,0,1,0,0
abscess of nose,0,0,0,0,0,0,0,1,0,0
abscess of nose,0,0,0,0,0,0,0,1,0,0
abscess of nose,0,0,0,0,0,0,0,1,0,0
abscess of nose,0,0,0,1,0,0,0,1,0,0
abscess of nose,0,0,0,0,0,0,0,1,0,0
abscess of nose,0,0,0,0,0,0,0,1,0,0
abscess of nose,0,0,0,0,0,0,0,1,0,0
abscess of nose,0,0,0,1,0,0,0,1,0,0
abscess of nose,0,0,0,0,0,0,0,1,0,0
abscess of nose,0,0,0,1,0,0,0,1,0,0
abscess of nose,0,0,0,1,0,0,0,1,0,0
abscess of nose,0,0,0,0,0,0,0,1,0,0
abscess of nose,0,0,0,0,0,0,0,1,0,0
abscess of nose,0,0,0,1,0,0,0,0,0,0
abscess of nose,0,0,0,0,0,0,0,1,0,0
abscess of nose,0,0,0,0,0,0,0,0,0,0
abscess of nose,0,0,0,1,0,0,0,1,0,0
abscess of nose,0,0,0,1,0,0,0,1,0,0
abscess of nose,0,0,0,1,0,0,0,1,0,0
abscess of nose,0,0,0,1,0,0,0,1,0,0
abscess of nose,0,0,0,0,0,0,0,1,0,0
abscess of nose,0,0,0,1,0,0,0,1,0,0
abscess of nose,0,0,0,1,0,0,0,1,0,0
abscess of nose,0,0,0,1,0,0,0,1,0,0
abscess of nose,0,0,0,1,0,0,0,1,0,0
abscess of nose,0,0,0,0,0,0,0,1,0,0
abscess of nose,0,0,0,0,0,0,0,0,0,0
abscess of nose,0,0,0,0,0,0,0,1,0,0
abscess of nose,0,0,0,0,0,0,0,1,0,0
abscess of nose,0,0,0,1,0,0,0,0,0,0
abscess of nose,0,0,0,1,0,0,0,1,0,0
abscess of nose,0,0,0,0,0,0,0,1,0,0
abscess of nose,0,0,0,0,0,0,0,1,0,0
abscess of nose,0,0,0,0,0,0,0,1,0,0
abscess of the pharynx,0,1,0,0,0,0,0,0,1,0
abscess of the pharynx,0,0,0,0,0,0,0,0,1,0
abscess of the pharynx,0,1,0,0,0,0,0,0,1,0
abscess of the pharynx,0,0,0,1,0,0,0,0,1,0
abscess of the pharynx,0,1,0,0,0,0,0,0,1,0
abscess of the pharynx,0,1,0,0,0,0,0,0,1,0
abscess of the pharynx,0,1,0,1,0,0,0,0,1,0
abscess of the pharynx,0,1,0,0,0,0,0,0,0,0
abscess of the pharynx,0,1,0,0,0,0,0,0,1,0
abscess of the pharynx,0,1,0,1,0,0,0,0,0,0
abscess of the pharynx,0,1,0,1,0,0,0,0,1,0
abscess of the pharynx,0,0,0,1,0,0,0,0,0,0
abscess of the pharynx,0,1,0,0,0,0,0,0,1,0
abscess of the pharynx,0,1,0,1,0,0,0,0,1,0
abscess of the pharynx,0,1,0,0,0,0,0,0,1,0
abscess of the pharynx,0,1,0,0,0,0,0,0,1,0
abscess of the pharynx,0,0,0,0,0,0,0,0,0,0
abscess of the pharynx,0,1,0,1,0,0,0,0,0,0
abscess of the pharynx,0,1,0,1,0,0,0,0,1,0
abscess of the pharynx,0,0,0,0,0,0,0,0,0,0
abscess of the pharynx,0,1,0,1,0,0,0,0,1,0
abscess of the pharynx,0,1,0,0,0,0,0,0,0,0
abscess of the pharynx,0,0,0,1,0,0,0,0,1,0
abscess of the pharynx,0,1,0,1,0,0,0,0,0,0
abscess of the pharynx,0,0,0,0,0,0,0,0,1,0
abscess of the pharynx,0,0,0,1,0,0,0,0,1,0
abscess of the pharynx,0,1,0,1,0,0,0,0,1,0
abscess of the pharynx,0,1,0,0,0,0,0,0,1,0
abscess of the pharynx,0,1,0,1,0,0,0,0,1,0
abscess of the pharynx,0,1,0,0,0,0,0,0,0,0
abscess of the pharynx,0,1,0,0,0,0,0,0,0,0
abscess of the pharynx,0,1,0,1,0,0,0,0,1,0
abscess of the pharynx,0,1,0,1,0,0,0,0,0,0
abscess of the pharynx,0,1,0,0,0,0,0,0,1,0
abscess of the pharynx,0,1,0,0,0,0,0,0,1,0
abscess of the pharynx,0,1,0,0,0,0,0,0,1,0
abscess of the pharynx,0,1,0,0,0,0,0,0,0,0
abscess of the pharynx,0,1,0,1,0,0,0,0,0,0
abscess of the pharynx,0,1,0,1,0,0,0,0,0,0
abscess of the pharynx,0,1,0,1,0,0,0,0,1,0
abscess of the pharynx,0,1,0,0,0,0,0,0,1,0
abscess of the pharynx,0,1,0,1,0,0,0,0,1,0
abscess of the pharynx,0,1,0,0,0,0,0,0,0,0
abscess of the pharynx,0,0,0,0,0,0,0,0,0,0
abscess of the pharynx,0,1,0,1,0,0,0,0,1,0
abscess of the pharynx,0,1,0,0,0,0,0,0,0,0
abscess of the pharynx,0,1,0,1,0,0,0,0,1,0
abscess of the pharynx,0,1,0,1,0,0,0,0,1,0
abscess of the pharynx,0,1,0,0,0,0,0,0,1,0
abscess of the pharynx,0,1,0,1,0,0,0,0,1,0
achalasia,0,0,0,1,0,0,0,0,0,0
achalasia,0,0,0,1,0,0,0,0,0,0
achalasia,0,0,0,1,0,0,0,0,0,0
achalasia,0,0,0,1,0,0,0,0,0,0
achalasia,0,0,0,1,0,0,0,0,0,0
achalasia,0,1,0,0,0,0,0,0,0,0
achalasia,0,0,0,1,0,0,0,0,0,0
achalasia,0,0,0,1,0,0,0,0,0,0
achalasia,0,0,0,0,0,0,0,0,0,0
achalasia,0,0,0,0,0,0,0,0,0,0
achalasia,0,0,0,1,0,0,0,0,0,0
achalasia,0,1,0,1,0,0,0,0,0,0
achalasia,0,0,0,1,0,0,0,0,0,0
achalasia,0,0,0,1,0,0,0,0,0,0
achalasia,0,1,0,1,0,0,0,0,0,0
achalasia,0,1,0,1,0,0,0,0,0,0
achalasia,0,0,0,0,0,0,0,0,0,0
achalasia,0,1,0,0,0,0,0,0,0,0
achalasia,0,1,0,1,0,0,0,0,0,0
achalasia,0,0,0,0,0,0,0,0,0,0
achalasia,0,0,0,1,0,0,0,0,0,0
achalasia,0,0,0,0,0,0,0,0,0,0
achalasia,0,0,0,1,0,0,0,0,0,0
achalasia,0,1,0,1,0,0,0,0,0,0
achalasia,0,0,0,1,0,0,0,0,0,0
achalasia,0,0,0,1,0,0,0,0,0,0
achalasia,0,1,0,1,0,0,0,0,0,0
achalasia,0,1,0,0,0,0,0,0,0,0
achalasia,0,0,0,1,0,0,0,0,0,0
achalasia,0,0,0,1,0,0,0,0,0,0
achalasia,0,0,0,1,0,0,0,0,0,0
achalasia,0,0,0,1,0,0,0,0,0,0
achalasia,0,1,0,1,0,0,0,0,0,0
achalasia,0,0,0,1,0,0,0,0,0,0
achalasia,0,0,0,1,0,0,0,0,0,0
achalasia,0,1,0,1,0,0,0,0,0,0
achalasia,0,0,0,1,0,0,0,0,0,0
achalasia,0,0,0,1,0,0,0,0,0,0
achalasia,0,1,0,0,0,0,0,0,0,0
achalasia,0,1,0,1,0,0,0,0,0,0
achalasia,0,1,0,1,0,0,0,0,0,0
achalasia,0,0,0,0,0,0,0,0,0,0
achalasia,0,1,0,0,0,0,0,0,0,0
achalasia,0,1,0,1,0,0,0,0,0,0
achalasia,0,1,0,1,0,0,0,0,0,0
achalasia,0,1,0,1,0,0,0,0,0,0
achalasia,0,1,0,1,0,0,0,0,0,0
achalasia,0,1,0,1,0,0,0,0,0,0
achalasia,0,1,0,1,0,0,0,0,0,0
achalasia,0,1,0,1,0,0,0,0,0,0
acne,0,0,0,0,1,0,0,0,0,0
acne,0,0,0,0,1,0,0,0,0,0
acne,0,0,0,0,1,0,0,0,0,0
acne,0,0,0,0,1,0,0,0,0,0
acne,0,0,0,0,0,0,0,0,0,0
acne,0,0,0,0,0,0,0,0,0,0
acne,0,0,0,0,1,0,0,0,0,0
acne,0,0,0,0,1,0,0,0,0,0
acne,0,0,0,0,0,0,0,0,0,0
acne,0,0,0,0,1,0,0,0,0,0
acne,0,0,0,0,0,0,0,0,0,0
acne,0,0,0,0,1,0,0,0,0,0
acne,0,0,0,0,0,0,0,0,0,0
acne,0,0,0,0,0,0,0,0,0,0
acne,0,0,0,0,1,0,0,0,0,0
acne,0,0,0,0,0,0,0,0,0,0
acne,0,0,0,0,1,0,0,0,0,0
acne,0,0,0,0,1,0,0,0,0,0
acne,0,0,0,0,1,0,0,0,0,0
acne,0,0,0,0,1,0,0,0,0,0
acne,0,0,0,0,0,0,0,0,0,0
acne,0,0,0,0,0,0,0,0,0,0
acne,0,0,0,0,0,0,0,0,0,0
acne,0,0,0,0,1,0,0,0,0,0
acne,0,0,0,0,0,0,0,0,0,0
acne,0,0,0,0,1,0,0,0,0,0
acne,0,0,0,0,0,0,0,0,0,0
acne,0,0,0,0,0,0,0,0,0,0
acne,0,0,0,0,1,0,0,0,0,0
acne,0,0,0,0,0,0,0,0,0,0
acne,0,0,0,0,1,0,0,0,0,0
acne,0,0,0,0,0,0,0,0,0,0
acne,0,0,0,0,1,0,0,0,0,0
acne,0,0,0,0,1,0,0,0,0,0
acne,0,0,0,0,1,0,0,0,0,0
acne,0,0,0,0,0,0,0,0,0,0
acne,0,0,0,0,0,0,0,0,0,0
acne,0,0,0,0,1,0,0,0,0,0
acne,0,0,0,0,0,0,0,0,0,0
acne,0,0,0,0,1,0,0,0,0,0
acne,0,0,0,0,0,0,0,0,0,0
acne,0,0,0,0,1,0,0,0,0,0
acne,0,0,0,0,1,0,0,0,0,0
acne,0,0,0,0,0,0,0,0,0,0
acne,0,0,0,0,1,0,0,0,0,0
acne,0,0,0,0,1,0,0,0,0,0
acne,0,0,0,0,0,0,0,0,0,0
acne,0,0,0,0,0,0,0,0,0,0
acne,0,0,0,0,1,0,0,0,0,0
acne,0,0,0,0,1,0,0,0,0,0
actinic keratosis,0,0,0,0,0,0,0,0,0,0
actinic keratosis,0,0,0,0,0,0,0,0,0,0
actinic keratosis,0,0,0,0,0,0,0,0,0,0
actinic keratosis,0,0,0,0,1,0,0,0,0,0
actinic keratosis,0,0,0,0,1,0,0,0,0,0
actinic keratosis,0,0,0,0,0,0,0,0,0,0
actinic keratosis,0,0,0,0,0,0,0,0,0,0
actinic keratosis,0,0,0,0,0,0,0,0,0,0
actinic keratosis,0,0,0,0,0,0,0,0,0,0
actinic keratosis,0,0,0,0,1,0,0,0,0,0
actinic keratosis,0,0,0,0,1,0,0,0,0,0
actinic keratosis,0,0,0,0,0,0,0,0,0,0
actinic keratosis,0,0,0,0,0,0,0,0,0,0
actinic keratosis,0,0,0,0,1,0,0,0,0,0
actinic keratosis,0,0,0,0,1,0,0,0,0,0
actinic keratosis,0,0,0,0,1,0,0,0,0,0
actinic keratosis,0,0,0,0,0,0,0,0,0,0
actinic keratosis,0,0,0,0,1,0,0,0,0,0
actinic keratosis,0,0,0,0,1,0,0,0,0,0
actinic keratosis,0,0,0,0,1,0,0,0,0,0
actinic keratosis,0,0,0,0,1,0,0,0,0,0
actinic keratosis,0,0,0,0,1,0,0,0,0,0
actinic keratosis,0,0,0,0,1,0,0,0,0,0
actinic keratosis,0,0,0,0,0,0,0,0,0,0
actinic keratosis,0,0,0,0,0,0,0,0,0,0
actinic keratosis,0,0,0,0,0,0,0,0,0,0
actinic keratosis,0,0,0,0,0,0,0,0,0,0
actinic keratosis,0,0,0,0,0,0,0,0,0,0
actinic keratosis,0,0,0,0,1,0,0,0,0,0
actinic keratosis,0,0,0,0,0,0,0,0,0,0
actinic keratosis,0,0,0,0,1,0,0,0,0,0
actinic keratosis,0,0,0,0,1,0,0,0,0,0
actinic keratosis,0,0,0,0,0,0,0,0,0,0
actinic keratosis,0,0,0,0,0,0,0,0,0,0
actinic keratosis,0,0,0,0,0,0,0,0,0,0
actinic keratosis,0,0,0,0,0,0,0,0,0,0
actinic keratosis,0,0,0,0,0,0,0,0,0,0
actinic keratosis,0,0,0,0,0,0,0,0,0,0
actinic keratosis,0,0,0,0,0,0,0,0,0,0
actinic keratosis,0,0,0,0,0,0,0,0,0,0
actinic keratosis,0,0,0,0,0,0,0,0,0,0
actinic keratosis,0,0,0,0,1,0,0,0,0,0
actinic keratosis,0,0,0,0,0,0,0,0,0,0
actinic keratosis,0,0,0,0,1,0,0,0,0,0
actinic keratosis,0,0,0,0,1,0,0,0,0,0
actinic keratosis,0,0,0,0,0,0,0,0,0,0
actinic keratosis,0,0,0,0,1,0,0,0,0,0
actinic keratosis,0,0,0,0,1,0,0,0,0,0
actinic keratosis,0,0,0,0,0,0,0,0,0,0
actinic keratosis,0,0,0,0,0,0,0,0,0,0
acute bronchiolitis,0,0,0,0,0,0,0,0,0,0
acute bronchiolitis,1,0,0,1,0,0,0,0,0,0
acute bronchiolitis,0,0,0,1,0,0,0,0,0,0
acute bronchiolitis,1,0,0,0,0,0,0,0,0,0
acute bronchiolitis,1,0,0,0,0,0,0,1,0,0
acute bronchiolitis,1,0,0,0,0,0,0,0,0,0
acute bronchiolitis,0,0,0,1,0,0,0,0,0,0
acute bronchiolitis,1,0,0,1,0,0,0,0,0,0
acute bronchiolitis,0,0,0,0,0,0,0,1,0,0
acute bronchiolitis,0,0,0,1,0,0,0,0,0,0
acute bronchiolitis,1,0,0,1,0,0,0,0,0,0
acute bronchiolitis,0,0,0,0,0,0,0,0,0,0
acute bronchiolitis,0,0,0,0,0,0,0,1,0,0
acute bronchiolitis,1,0,0,1,0,0,0,1,0,0
acute bronchiolitis,0,0,0,0,0,0,0,1,0,0
acute bronchiolitis,1,0,0,0,0,0,0,0,0,0
acute bronchiolitis,1,0,0,1,0,0,0,0,0,0
acute bronchiolitis,0,0,0,0,0,0,0,0,0,0
acute bronchiolitis,0,0,0,0,0,0,0,1,0,0
acute bronchiolitis,1,0,0,1,0,0,0,1,0,0
acute bronchiolitis,0,0,0,0,0,0,0,1,0,0
acute bronchiolitis,0,0,0,1,0,0,0,0,0,0
acute bronchiolitis,1,0,0,1,0,0,0,0,0,0
acute bronchiolitis,1,0,0,0,0,0,0,0,0,0
acute bronchiolitis,1,0,0,1,0,0,0,1,0,0
acute bronchiolitis,1,0,0,1,0,0,0,1,0,0
acute bronchiolitis,1,0,0,0,0,0,0,1,0,0
acute bronchiolitis,1,0,0,1,0,0,0,0,0,0
acute bronchiolitis,1,0,0,0,0,0,0,0,0,0
acute bronchiolitis,1,0,0,0,0,0,0,1,0,0
acute bronchiolitis,0,0,0,1,0,0,0,1,0,0
acute bronchiolitis,0,0,0,1,0,0,0,1,0,0
acute bronchiolitis,0,0,0,0,0,0,0,1,0,0
acute bronchiolitis,1,0,0,0,0,0,0,0,0,0
acute bronchiolitis,1,0,0,1,0,0,0,1,0,0
acute bronchiolitis,0,0,0,1,0,0,0,0,0,0
acute bronchiolitis,0,0,0,1,0,0,0,1,0,0
acute bronchiolitis,1,0,0,1,0,0,0,1,0,0
acute bronchiolitis,0,0,0,1,0,0,0,0,0,0
acute bronchiolitis,0,0,0,0,0,0,0,1,0,0
acute bronchiolitis,1,0,0,0,0,0,0,1,0,0
acute bronchiolitis,1,0,0,1,0,0,0,0,0,0
acute bronchiolitis,1,0,0,0,0,0,0,0,0,0
acute bronchiolitis,0,0,0,0,0,0,0,1,0,0
acute bronchiolitis,0,0,0,0,0,0,0,1,0,0
acute bronchiolitis,0,0,0,0,0,0,0,1,0,0
acute bronchiolitis,0,0,0,0,0,0,0,1,0,0
acute bronchiolitis,1,0,0,1,0,0,0,1,0,0
acute bronchiolitis,0,0,0,1,0,0,0,0,0,0
acute bronchiolitis,1,0,0,1,0,0,0,1,0,0
acute bronchitis,0,0,0,1,0,0,0,0,1,0
acute bronchitis,1,1,0,1,0,0,0,0,0,0
acute bronchitis,0,0,0,0,0,0,0,0,0,0
acute bronchitis,1,0,0,1,0,0,0,0,1,0
acute bronchitis,1,0,0,1,0,0,0,0,1,0
acute bronchitis,0,0,0,1,0,0,0,0,0,0
acute bronchitis,1,0,0,1,0,0,0,0,0,0
acute bronchitis,1,1,0,0,0,0,0,0,0,0
acute bronchitis,1,1,0,0,0,0,0,0,0,0
acute bronchitis,1,1,0,0,0,0,0,0,1,0
acute bronchitis,0,0,0,1,0,0,0,0,1,0
acute bronchitis,0,0,0,0,0,0,0,0,0,0
acute bronchitis,0,1,0,1,0,0,0,0,0,0
acute bronchitis,0,0,0,0,0,0,0,0,0,0
acute bronchitis,0,0,0,0,0,0,0,0,1,0
acute bronchitis,0,1,0,0,0,0,0,0,0,0
acute bronchitis,0,1,0,1,0,0,0,0,1,0
acute bronchitis,1,1,0,0,0,0,0,0,0,0
acute bronchitis,1,0,0,0,0,0,0,0,0,0
acute bronchitis,1,0,0,1,0,0,0,0,1,0
acute bronchitis,0,1,0,1,0,0,0,0,0,0
acute bronchitis,0,1,0,0,0,0,0,0,0,0
acute bronchitis,0,0,0,0,0,0,0,0,0,0
acute bronchitis,0,1,0,0,0,0,0,0,0,0
acute bronchitis,0,1,0,0,0,0,0,0,0,0
acute bronchitis,1,0,0,1,0,0,0,0,1,0
acute bronchitis,1,0,0,1,0,0,0,0,0,0
acute bronchitis,1,0,0,0,0,0,0,0,1,0
acute bronchitis,0,0,0,0,0,0,0,0,1,0
acute bronchitis,0,0,0,1,0,0,0,0,1,0
acute bronchitis,1,0,0,1,0,0,0,0,0,0
acute bronchitis,0,0,0,0,0,0,0,0,0,0
acute bronchitis,0,0,0,0,0,0,0,0,1,0
acute bronchitis,0,0,0,1,0,0,0,0,0,0
acute bronchitis,0,0,0,1,0,0,0,0,0,0
acute bronchitis,1,1,0,1,0,0,0,0,0,0
acute bronchitis,1,0,0,1,0,0,0,0,0,0
acute bronchitis,1,0,0,0,0,0,0,0,1,0
acute bronchitis,0,0,0,1,0,0,0,0,1,0
acute bronchitis,1,0,0,0,0,0,0,0,0,0
acute bronchitis,1,0,0,1,0,0,0,0,1,0
acute bronchitis,0,0,0,1,0,0,0,0,1,0
acute bronchitis,1,1,0,1,0,0,0,0,0,0
acute bronchitis,0,0,0,1,0,0,0,0,0,0
acute bronchitis,0,1,0,0,0,0,0,0,0,0
acute bronchitis,1,0,0,1,0,0,0,0,1,0
acute bronchitis,1,0,0,1,0,0,0,0,0,0
acute bronchitis,1,1,0,0,0,0,0,0,1,0
acute bronchitis,0,1,0,0,0,0,0,0,1,0
acute bronchitis,0,0,0,0,0,0,0,0,1,0
acute bronchospasm,1,1,0,1,0,0,0,1,0,0
acute bronchospasm,0,0,0,1,0,0,0,1,0,0
acute bronchospasm,0,1,0,0,0,0,0,1,0,0
acute bronchospasm,0,0,0,1,0,0,0,1,0,0
acute bronchospasm,0,1,0,0,0,0,0,1,0,0
acute bronchospasm,1,0,0,0,0,0,0,1,0,0
acute bronchospasm,0,0,0,0,0,0,0,1,0,0
acute bronchospasm,1,1,0,1,0,0,0,1,0,0
acute bronchospasm,1,1,0,0,0,0,0,0,0,0
acute bronchospasm,0,1,0,0,0,0,0,1,0,0
acute bronchospasm,0,1,0,1,0,0,0,1,0,0
acute bronchospasm,0,1,0,1,0,0,0,0,0,0
acute bronchospasm,0,1,0,1,0,0,0,1,0,0
acute bronchospasm,0,0,0,1,0,0,0,1,0,0
acute bronchospasm,1,0,0,1,0,0,0,1,0,0
acute bronchospasm,0,1,0,0,0,0,0,1,0,0
acute bronchospasm,1,1,0,1,0,0,0,1,0,0
acute bronchospasm,0,0,0,1,0,0,0,0,0,0
acute bronchospasm,1,1,0,0,0,0,0,1,0,0
acute bronchospasm,0,1,0,0,0,0,0,1,0,0
acute bronchospasm,0,0,0,1,0,0,0,1,0,0
acute bronchospasm,0,0,0,0,0,0,0,0,0,0
acute bronchospasm,1,1,0,1,0,0,0,1,0,0
acute bronchospasm,0,1,0,0,0,0,0,1,0,0
acute bronchospasm,0,0,0,1,0,0,0,1,0,0
acute bronchospasm,1,0,0,1,0,0,0,1,0,0
acute bronchospasm,1,0,0,0,0,0,0,1,0,0
acute bronchospasm,0,0,0,1,0,0,0,0,0,0
acute bronchospasm,1,1,0,1,0,0,0,1,0,0
acute bronchospasm,1,1,0,0,0,0,0,1,0,0
acute bronchospasm,1,0,0,1,0,0,0,1,0,0
acute bronchospasm,0,0,0,0,0,0,0,1,0,0
acute bronchospasm,1,1,0,1,0,0,0,0,0,0
acute bronchospasm,0,0,0,1,0,0,0,0,0,0
acute bronchospasm,1,1,0,1,0,0,0,1,0,0
acute bronchospasm,1,1,0,0,0,0,0,1,0,0
acute bronchospasm,1,1,0,0,0,0,0,1,0,0
acute bronchospasm,1,0,0,0,0,0,0,1,0,0
acute bronchospasm,1,1,0,1,0,0,0,0,0,0
acute bronchospasm,0,0,0,0,0,0,0,0,0,0
acute bronchospasm,1,0,0,1,0,0,0,0,0,0
acute bronchospasm,1,1,0,0,0,0,0,1,0,0
acute bronchospasm,0,1,0,1,0,0,0,1,0,0
acute bronchospasm,0,1,0,0,0,0,0,1,0,0
